Countries,Start_Year,End_Year,CE_End,GDP_End,Delta_CE,Delta_GDP,Pct_Delta_CE,Pct_Delta_GDP,GDP_Decoupling_Elasticity,Decoupling_State,Region
Spain,1975,2020,223.3,1.27813,54.900000000000006,1.163353,0.21708185053380782,1.5875476324469966,0.13674036992465202,Weak Decoupling,Europe
Sri Lanka,1975,2020,24.7,0.084304298771,20.4,0.080513000625,1.8214285714285712,2.651291458372858,0.6869967334886722,Weak Decoupling,Asia
Sweden,1975,2020,42.7,0.547054,-42.7,0.46416860237900004,-0.6491334752204317,1.511320998678085,-0.4295139654568505,Strong Decoupling,Europe
Switzerland,1975,2020,32.7,0.741999,-7.199999999999996,0.6765329181809999,-0.1762114537444933,1.8534777332289807,-0.09507071522111668,Strong Decoupling,Europe
Thailand,1975,2020,273.1,0.500462,247.00000000000003,0.48557922940599996,1.5938568755242954,2.556578741555635,0.6234335166827134,Weak Decoupling,Asia
Turkey,1975,2020,377.2,0.720338,316.5,0.674295142857,1.6160326780699512,1.8502712379469126,0.8734031232432301,Expansive Coupling,Asia
Turkmenistan,1975,2020,89.7,0.045818,,,,,,N/A,Asia
USA,1975,2020,4462.7,21.323,75.89999999999964,19.6381,0.014998992162581892,1.955182172110909,0.007671403911374793,Weak Decoupling,Unknown
Ukraine,1975,2020,171.5,0.156618,,,,,,N/A,Europe
United Arab Emirates,1975,2020,248.5,0.349473,243.2,0.334752271751,1.891870867366783,2.2019414381163265,0.8591830984320834,Expansive Coupling,Asia
United Kingdom,1975,2020,320.9,2.69781,-315.1,2.456053,-0.5831189740363084,1.529935570919642,-0.3811395624234009,Strong Decoupling,Unknown
Uzbekistan,1975,2020,111.2,0.060224701297,,,,,,N/A,Asia
Venezuela,1975,2020,71.1,,8.399999999999991,,0.06971532907295205,,,N/A,Unknown
Vietnam,1975,2020,285.0,0.346616,265.2,,3.225492580880564,,,N/A,Unknown
