Countries,Region,1975 - 1980,1980 - 1985,1985 - 1990,1990 - 1995,1995 - 2000,2000 - 2005,2005 - 2010,2010 - 2015,2015 - 2020
Hungary,Europe,Weak Decoupling,Weak Negative Decoupling,Strong Decoupling,Strong Decoupling,Strong Decoupling,Weak Decoupling,Strong Decoupling,Recessive Decoupling,Weak Decoupling
Iceland,Europe,Weak Decoupling,Weak Negative Decoupling,Weak Decoupling,Expansive Coupling,Weak Decoupling,Weak Decoupling,Weak Negative Decoupling,Weak Decoupling,Strong Decoupling
India,Asia,Weak Decoupling,Expansive Negative Decoupling,Expansive Negative Decoupling,Expansive Negative Decoupling,Expansive Coupling,Weak Decoupling,Weak Decoupling,Expansive Coupling,Weak Decoupling
Indonesia,Asia,Weak Decoupling,Expansive Negative Decoupling,Expansive Negative Decoupling,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling
Iran,Unknown,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Strong Negative Decoupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Strong Negative Decoupling
Iraq,Asia,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Strong Negative Decoupling,Strong Decoupling,Strong Decoupling,Weak Decoupling,Expansive Negative Decoupling,Expansive Negative Decoupling
Ireland,Europe,Weak Decoupling,Recessive Coupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Strong Decoupling,Strong Decoupling,Strong Decoupling
Israel,Asia,Weak Decoupling,Expansive Coupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Expansive Coupling,Weak Decoupling,Strong Decoupling,Strong Decoupling
Italy,Europe,Weak Decoupling,Recessive Decoupling,Weak Decoupling,Strong Negative Decoupling,Strong Negative Decoupling,Weak Decoupling,Strong Decoupling,Recessive Coupling,Strong Decoupling
Japan,Asia,Strong Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Strong Negative Decoupling,Strong Decoupling,Strong Negative Decoupling,Strong Decoupling
Kazakhstan,Asia,,,,Recessive Decoupling,Recessive Decoupling,Weak Decoupling,Weak Decoupling,Strong Decoupling,Strong Negative Decoupling
Kuwait,Asia,Weak Decoupling,Strong Negative Decoupling,Recessive Decoupling,Expansive Coupling,Expansive Coupling,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Recessive Decoupling
Latvia,Europe,,,,,Strong Decoupling,Weak Decoupling,Weak Decoupling,Strong Decoupling,Strong Decoupling
Lithuania,Europe,,,,,Strong Decoupling,Weak Decoupling,Weak Decoupling,Strong Decoupling,Weak Decoupling
Luxembourg,Europe,Strong Decoupling,Weak Negative Decoupling,Weak Decoupling,Strong Decoupling,Expansive Negative Decoupling,Weak Decoupling,Strong Decoupling,Strong Decoupling,Strong Decoupling
Malaysia,Asia,Weak Decoupling,Expansive Coupling,Expansive Coupling,Weak Decoupling,Expansive Negative Decoupling,Expansive Coupling,Weak Decoupling,Expansive Coupling,Strong Decoupling
Mexico,Americas,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Expansive Coupling,Weak Decoupling,Weak Decoupling,Recessive Decoupling
Morocco,Africa,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Expansive Coupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling,Expansive Coupling
Netherlands,Unknown,Strong Decoupling,Weak Negative Decoupling,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Strong Decoupling,Recessive Coupling,Strong Decoupling
New Zealand,Oceania,Strong Decoupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Strong Decoupling,Weak Decoupling,Strong Decoupling
North Macedonia,Europe,,,,Strong Decoupling,Strong Negative Decoupling,Weak Decoupling,Strong Decoupling,Strong Decoupling,Strong Decoupling
Norway,Europe,Weak Decoupling,Strong Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Weak Negative Decoupling,Recessive Decoupling
Oman,Asia,Weak Decoupling,Expansive Negative Decoupling,Expansive Negative Decoupling,Expansive Negative Decoupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling,Strong Negative Decoupling
Pakistan,Asia,Weak Decoupling,Expansive Negative Decoupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling
Peru,Americas,,,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Expansive Coupling,Strong Decoupling
Philippines,Asia,Weak Decoupling,Recessive Decoupling,Expansive Coupling,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Expansive Coupling
Poland,Europe,,,,Strong Decoupling,Strong Decoupling,Weak Decoupling,Weak Decoupling,Strong Decoupling,Strong Decoupling
Portugal,Europe,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling,Weak Decoupling,Strong Decoupling,Strong Negative Decoupling,Strong Decoupling
Qatar,Asia,Weak Decoupling,Strong Negative Decoupling,Expansive Coupling,Expansive Negative Decoupling,Strong Decoupling,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling,Recessive Decoupling
Romania,Europe,,,,Recessive Decoupling,Recessive Decoupling,Weak Decoupling,Strong Decoupling,Strong Decoupling,Strong Decoupling
Russia,Unknown,,,,Recessive Coupling,Weak Negative Decoupling,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Strong Decoupling
Saudi Arabia,Asia,Weak Decoupling,Strong Negative Decoupling,Expansive Negative Decoupling,Expansive Coupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Expansive Coupling,Strong Decoupling
Singapore,Asia,Weak Decoupling,Weak Decoupling,Expansive Coupling,Weak Decoupling,Expansive Coupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling
Slovakia,Europe,,,,Strong Decoupling,Strong Decoupling,Weak Decoupling,Strong Decoupling,Recessive Decoupling,Strong Decoupling
Slovenia,Europe,,,,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Recessive Decoupling,Strong Decoupling
South Africa,Africa,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Weak Negative Decoupling,Weak Negative Decoupling
Spain,Europe,Weak Decoupling,Weak Negative Decoupling,Weak Decoupling,Expansive Coupling,Strong Negative Decoupling,Weak Decoupling,Strong Decoupling,Weak Negative Decoupling,Strong Decoupling
Sri Lanka,Asia,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling,Strong Negative Decoupling
Sweden,Europe,Weak Decoupling,Recessive Coupling,Strong Decoupling,Strong Decoupling,Recessive Decoupling,Weak Decoupling,Strong Decoupling,Strong Decoupling,Strong Decoupling
Switzerland,Europe,Weak Decoupling,Weak Negative Decoupling,Weak Decoupling,Strong Decoupling,Strong Negative Decoupling,Weak Decoupling,Strong Decoupling,Strong Decoupling,Strong Decoupling
Thailand,Asia,Weak Decoupling,Expansive Coupling,Weak Decoupling,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Strong Decoupling
Turkey,Asia,Weak Decoupling,Strong Negative Decoupling,Weak Decoupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling,Strong Negative Decoupling
Turkmenistan,Asia,,,,Recessive Decoupling,Expansive Coupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Expansive Coupling
USA,Unknown,Weak Decoupling,Strong Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Strong Decoupling,Strong Decoupling,Strong Decoupling
Ukraine,Europe,,,,Recessive Coupling,Weak Negative Decoupling,Strong Decoupling,Strong Decoupling,Recessive Coupling,Strong Decoupling
United Arab Emirates,Asia,Expansive Negative Decoupling,Strong Negative Decoupling,Expansive Negative Decoupling,Expansive Negative Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Expansive Coupling,Recessive Coupling
United Kingdom,Unknown,Strong Decoupling,Weak Negative Decoupling,Weak Decoupling,Strong Decoupling,Weak Decoupling,Weak Decoupling,Recessive Decoupling,Strong Decoupling,Recessive Decoupling
Uzbekistan,Asia,,,,Recessive Decoupling,Expansive Negative Decoupling,Strong Decoupling,Strong Decoupling,Weak Decoupling,Strong Negative Decoupling
Venezuela,Unknown,Weak Decoupling,Expansive Coupling,Strong Negative Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,Weak Decoupling,,
Vietnam,Unknown,,,Strong Negative Decoupling,Weak Decoupling,Expansive Negative Decoupling,Expansive Coupling,Weak Decoupling,Weak Decoupling,Expansive Negative Decoupling
